Species primary name,Species tertiary name,BirdMAP ID,Date,Time,Seen/Heard,Latitude,Longitude,Notes,Count,Count exact,Dead/Alive,Altitude,Ring number,Age count - Adult,Age count - Sub-adult,Age count - Immature,Age count - Juvenile,Age count - Chick,Gender count - Male,Gender count - Female,Breeding status,Colouration,Fed by,Feeding,Flight direction,Habitat,Roosting site,Sighting direction,Sighting distance,Activity,Feeding on,Fieldsheet,Location name,ISO date
African Fish Eagle,African Fish Eagle,149,2021-05-25,09:07,Heard,-3.36496,39.960363,,1,false,Alive,4,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T09:07:23.549+0300
Golden Palm Weaver,Golden Palm Weaver,3898,2021-05-25,09:06,Seen,-3.364847,39.960363,,1,false,Alive,4,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T09:06:33.320+0300
Emerald-spotted Wood Dove,Emerald-spotted Wood Dove,321,2021-05-25,09:06,Seen,-3.364662,39.960518,,1,false,Alive,4,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T09:06:04.951+0300
Zanzibar Greenbul,Sombre Greenbul,551,2021-05-25,09:05,Heard,-3.364643,39.960618,,1,false,Alive,5,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T09:05:23.104+0300
Grassland Pipit,African Pipit,692,2021-05-25,09:05,Seen,-3.364608,39.960632,,1,false,Alive,5,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T09:05:05.251+0300
Collared Sunbird,Collared Sunbird,771,2021-05-25,09:04,Heard,-3.364617,39.960645,,1,false,Alive,4,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T09:04:53.551+0300
Striped Kingfisher,Striped Kingfisher,403,2021-05-25,09:02,Heard,-3.364355,39.961035,,1,false,Alive,4,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T09:02:36.178+0300
Black-crowned Tchagra,Black-crowned Tchagra,715,2021-05-25,09:02,Seen,-3.364347,39.961028,,1,false,Alive,3,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T09:02:11.867+0300
White-browed Coucal,White-browed Coucal,1036,2021-05-25,09:01,Heard,-3.364338,39.961045,,1,false,Alive,2,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T09:01:59.148+0300
Black-headed Oriole,Black-headed Oriole,521,2021-05-25,09:01,Heard,-3.364348,39.96105,,1,false,Alive,2,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T09:01:44.674+0300
